iter	Passed	Remaining
0	0	72
1	1	63
2	1	59
3	2	54
4	2	53
5	6	106
6	7	99
7	8	94
8	8	89
9	9	86
10	10	82
11	10	79
12	14	94
13	14	91
14	15	87
15	16	85
16	16	82
17	17	80
18	18	78
19	21	85
20	22	82
21	22	80
22	23	78
23	23	75
24	24	73
25	25	71
26	28	77
27	29	75
28	29	73
29	30	71
30	31	69
31	31	67
32	32	65
33	32	63
34	33	62
35	35	62
36	36	61
37	36	60
38	37	58
39	38	57
40	38	55
41	38	53
42	39	52
43	39	50
44	43	52
45	43	51
46	44	50
47	44	48
48	45	47
49	45	45
50	46	44
51	47	43
52	48	42
53	49	42
54	50	41
55	51	40
56	51	38
57	52	37
58	52	36
59	53	35
60	53	34
61	54	33
62	55	32
63	58	32
64	59	31
65	59	30
66	60	29
67	60	28
68	61	27
69	61	26
70	62	25
71	65	25
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	68	19
78	69	18
79	73	18
80	73	17
81	74	16
82	75	15
83	75	14
84	76	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	81	7
92	82	6
93	83	5
94	83	4
95	84	3
96	84	2
97	85	1
98	86	0
99	87	0
