iter	Passed	Remaining
0	1	1070
1	2	1357
2	3	1179
3	4	1055
4	4	989
5	5	968
6	6	915
7	7	872
8	7	837
9	8	807
10	9	814
11	10	839
12	11	835
13	11	818
14	12	804
15	12	790
16	13	776
17	14	764
18	14	754
19	15	743
20	15	736
21	16	742
22	17	756
23	18	752
24	19	744
25	19	736
26	20	728
27	20	720
28	21	714
29	21	708
30	22	702
31	23	704
32	24	713
33	25	718
34	26	718
35	26	713
36	27	711
37	27	707
38	28	702
39	29	697
40	29	692
41	30	688
42	30	685
43	31	687
44	32	692
45	33	691
46	33	688
47	34	685
48	35	682
49	35	679
50	36	676
51	36	673
52	37	670
53	38	667
54	38	669
55	40	674
56	40	677
57	41	677
58	42	674
59	42	671
60	43	669
61	44	666
62	44	663
63	45	660
64	45	658
65	46	660
66	48	670
67	48	668
68	49	665
69	49	662
70	50	658
71	50	655
72	51	651
73	51	648
74	52	644
75	52	641
76	53	638
77	54	639
78	55	641
79	56	646
80	56	643
81	57	640
82	57	635
83	58	632
84	58	629
85	59	627
86	59	624
87	60	621
88	60	619
89	62	632
90	63	632
91	63	630
92	64	627
93	64	625
94	65	622
95	65	620
96	66	617
97	66	614
98	67	612
99	67	609
100	68	607
101	69	608
102	69	609
103	72	621
104	72	621
105	73	621
106	74	621
107	74	619
108	75	618
109	79	645
110	80	645
111	81	643
112	81	641
113	82	639
114	82	637
115	85	654
116	86	654
117	87	652
118	87	649
119	88	647
120	88	645
121	89	642
122	89	639
123	90	637
124	90	635
125	93	647
126	94	646
127	94	644
128	95	642
129	95	640
130	96	637
131	96	635
132	97	633
133	97	631
134	98	629
135	99	631
136	100	633
137	101	634
138	102	633
139	102	632
140	103	630
141	103	627
142	104	625
143	104	623
144	105	623
145	106	624
146	107	626
147	108	627
148	109	625
149	110	624
150	110	622
151	111	620
152	111	618
153	112	616
154	112	614
155	113	613
156	114	614
157	115	615
158	116	613
159	116	611
160	116	609
161	117	607
162	117	605
163	118	603
164	118	601
165	119	599
166	119	598
167	120	596
168	121	596
169	122	596
170	122	595
171	123	594
172	123	592
173	124	590
174	124	589
175	125	587
176	125	585
177	126	584
178	126	582
179	127	580
180	128	579
181	128	578
182	129	577
183	130	577
184	130	575
185	131	574
186	131	572
187	132	571
188	132	569
189	133	568
190	133	566
191	134	565
192	134	563
193	135	563
194	136	564
195	137	564
196	138	563
197	138	562
198	139	560
199	139	559
200	140	557
201	140	556
202	141	555
203	142	554
204	142	553
205	143	553
206	144	553
207	145	553
208	145	552
209	146	550
210	146	549
211	147	547
212	148	547
213	148	546
214	149	545
215	149	543
216	150	542
217	151	542
218	151	541
219	152	541
220	153	540
221	153	539
222	154	537
223	154	536
224	155	535
225	155	533
226	156	532
227	156	531
228	157	530
229	157	528
230	158	528
231	159	528
232	160	527
233	160	526
234	161	525
235	162	524
236	162	523
237	163	522
238	163	521
239	164	519
240	164	518
241	165	517
242	165	516
243	166	516
244	167	515
245	167	514
246	168	513
247	169	512
248	169	511
249	170	510
250	170	510
251	171	509
252	172	508
253	172	506
254	173	505
255	173	505
256	174	505
257	175	504
258	175	503
259	176	502
260	177	501
261	177	500
262	178	498
263	178	497
264	179	496
265	179	495
266	180	494
267	180	493
268	181	493
269	182	494
270	183	493
271	183	492
272	184	491
273	185	490
274	185	489
275	186	488
276	186	487
277	187	486
278	187	485
279	188	485
280	189	485
281	190	484
282	190	483
283	191	482
284	191	481
285	192	480
286	192	479
287	193	478
288	193	477
289	194	476
290	194	475
291	196	476
292	197	477
293	198	476
294	198	475
295	199	474
296	199	473
297	200	472
298	200	471
299	201	470
300	202	469
301	202	468
302	203	467
303	204	467
304	205	467
305	205	466
306	206	465
307	206	464
308	207	463
309	207	462
310	208	461
311	208	460
312	209	458
313	209	457
314	210	456
315	211	457
316	213	459
317	214	459
318	214	458
319	215	457
320	216	457
321	216	456
322	217	455
323	217	454
324	218	453
325	219	453
326	220	453
327	220	452
328	221	451
329	221	450
330	222	449
331	222	448
332	223	447
333	223	446
334	224	445
335	224	444
336	225	443
337	226	443
338	227	443
339	227	442
340	228	441
341	228	440
342	229	439
343	229	438
344	230	437
345	230	436
346	231	435
347	232	434
348	234	437
349	235	437
350	235	436
351	236	435
352	236	434
353	237	433
354	237	432
355	238	431
356	238	430
357	239	429
358	239	428
359	240	427
360	241	427
361	242	426
362	242	425
363	243	424
364	243	424
365	244	423
366	244	422
367	245	421
368	245	420
369	246	419
370	246	418
371	247	417
372	248	417
373	249	417
374	249	416
375	250	415
376	250	414
377	251	413
378	251	412
379	252	411
380	253	411
381	253	410
382	254	409
383	254	408
384	255	408
385	256	407
386	256	407
387	257	406
388	258	405
389	258	404
390	259	403
391	259	403
392	260	402
393	261	401
394	261	400
395	262	399
396	263	399
397	264	399
398	264	399
399	265	398
400	266	397
401	266	396
402	267	395
403	267	394
404	268	393
405	268	393
406	269	392
407	270	392
408	271	391
409	272	391
410	272	390
411	273	389
412	273	388
413	274	388
414	274	387
415	275	386
416	275	385
417	276	384
418	276	383
419	277	383
420	278	383
421	279	382
422	280	381
423	280	381
424	281	380
425	281	379
426	282	378
427	282	377
428	283	377
429	283	376
430	286	377
431	287	377
432	287	376
433	288	375
434	288	374
435	289	374
436	289	373
437	290	372
438	290	371
439	291	370
440	291	369
441	292	369
442	293	369
443	294	368
444	294	367
445	295	366
446	295	366
447	296	365
448	296	364
449	297	363
450	297	362
451	298	361
452	298	360
453	299	360
454	300	359
455	301	359
456	302	358
457	302	358
458	303	357
459	303	356
460	304	355
461	304	354
462	305	354
463	305	353
464	306	352
465	306	351
466	309	353
467	309	352
468	310	351
469	310	350
470	311	349
471	311	348
472	312	348
473	312	347
474	313	346
475	313	345
476	314	344
477	316	345
478	317	345
479	318	344
480	318	343
481	319	342
482	319	342
483	320	341
484	320	340
485	321	339
486	321	338
487	322	337
488	322	337
489	324	337
490	324	336
491	325	335
492	325	335
493	326	334
494	326	333
495	327	332
496	327	331
497	328	330
498	328	330
499	329	329
500	329	328
501	330	327
502	331	327
503	332	327
504	332	326
505	333	325
506	333	324
507	334	323
508	334	323
509	335	322
510	335	321
511	336	320
512	338	321
513	339	321
514	340	320
515	340	319
516	341	318
517	341	317
518	342	317
519	342	316
520	343	315
521	343	314
522	344	313
523	347	315
524	347	314
525	348	313
526	349	313
527	349	312
528	350	311
529	350	311
530	351	310
531	351	309
532	352	308
533	353	308
534	354	307
535	354	307
536	355	306
537	356	305
538	356	304
539	357	304
540	357	303
541	358	302
542	358	301
543	359	301
544	359	300
545	360	299
546	361	299
547	362	298
548	362	298
549	363	297
550	363	296
551	364	295
552	364	295
553	365	294
554	365	293
555	366	292
556	366	291
557	367	291
558	368	290
559	369	290
560	370	289
561	370	288
562	371	288
563	371	287
564	372	286
565	373	286
566	373	285
567	374	284
568	374	283
569	375	283
570	376	283
571	377	282
572	378	281
573	378	281
574	379	280
575	379	279
576	380	278
577	381	278
578	381	277
579	382	276
580	382	276
581	383	275
582	384	275
583	385	274
584	385	273
585	386	273
586	387	272
587	387	271
588	388	270
589	388	270
590	389	269
591	389	268
592	390	268
593	391	267
594	392	267
595	392	266
596	393	265
597	393	264
598	394	264
599	394	263
600	395	262
601	396	261
602	396	261
603	397	260
604	397	259
605	399	259
606	399	258
607	400	258
608	401	257
609	401	256
610	402	256
611	403	255
612	403	254
613	404	254
614	404	253
615	405	253
616	406	252
617	407	251
618	408	251
619	408	250
620	409	249
621	409	248
622	410	248
623	410	247
624	411	246
625	411	245
626	412	245
627	413	244
628	413	244
629	414	243
630	415	242
631	415	242
632	416	241
633	416	240
634	417	239
635	417	239
636	418	238
637	418	237
638	419	236
639	420	236
640	421	235
641	421	235
642	422	234
643	423	233
644	423	233
645	424	232
646	424	231
647	425	230
648	425	230
649	426	229
650	426	228
651	427	228
652	428	227
653	428	226
654	429	226
655	430	225
656	431	225
657	431	224
658	432	223
659	432	222
660	433	222
661	433	221
662	434	220
663	436	221
664	437	220
665	437	219
666	438	218
667	439	218
668	439	217
669	440	216
670	440	216
671	441	215
672	441	214
673	444	214
674	445	214
675	445	213
676	446	212
677	446	212
678	447	211
679	448	210
680	448	210
681	449	209
682	450	208
683	451	208
684	452	207
685	452	207
686	453	206
687	453	205
688	454	205
689	454	204
690	455	203
691	455	202
692	456	202
693	456	201
694	458	201
695	459	200
696	460	200
697	460	199
698	461	198
699	461	197
700	462	197
701	463	196
702	463	195
703	464	195
704	464	194
705	465	193
706	466	193
707	467	192
708	467	191
709	468	191
710	468	190
711	469	189
712	469	189
713	470	188
714	470	187
715	471	186
716	471	186
717	473	186
718	474	185
719	475	184
720	475	184
721	476	183
722	477	182
723	477	182
724	478	181
725	478	180
726	479	179
727	481	179
728	482	179
729	482	178
730	483	177
731	483	177
732	484	176
733	484	175
734	485	174
735	485	174
736	486	173
737	486	172
738	487	172
739	488	171
740	489	171
741	490	170
742	490	169
743	491	169
744	491	168
745	492	167
746	492	166
747	493	166
748	493	165
749	494	164
750	495	164
751	496	163
752	497	163
753	497	162
754	498	161
755	498	160
756	499	160
757	499	159
758	500	158
759	500	158
760	501	157
761	501	156
762	504	156
763	505	156
764	505	155
765	506	154
766	506	153
767	507	153
768	507	152
769	508	151
770	508	151
771	509	150
772	509	149
773	510	149
774	511	148
775	512	147
776	512	147
777	513	146
778	513	145
779	514	145
780	514	144
781	515	143
782	515	142
783	516	142
784	516	141
785	517	140
786	517	140
787	519	139
788	520	139
789	520	138
790	521	137
791	521	137
792	522	136
793	522	135
794	523	134
795	523	134
796	524	133
797	525	133
798	526	132
799	527	131
800	527	131
801	528	130
802	528	129
